0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
0.7676555251;0.7082555404;0.671101491;0.648078084;0.6321778257;0.5931669532;0.5684768887;0.5616285596;0.5486242372;0.5222669309;0.4796862051;0.4508201568;0.4301495275;0.4207483052;0.437346673;0.4852131921;0.5549887269;0.6958420437;0.6569982665;0.5969921137;0.5123348443;0.4364535202;0.4442077211;0.506590283;0.5559839082;0.5927282202;0.5817641547;0.3090930306;0.2121442974;0.1060721487;0.1480448367;0.1084969681;0.0971096337;0.0940476112;0.1163081057;0.5283335276;0.4925300479;0.4335380663;0.3603855318;0.3945024132;0.4608078912;0.3060268703;0.3897756766;0.4294686115;0.4508201568;0.3892747866;0.3361075159;0.3537372935;0.2519435379;0.1768686468;0.1776025447;0.1662542591;0.2171437422;0.2935528181;0.3369771357;0.3593011195;0.3629928205;0.370090126;0.3678869267;0.3262891665;0.237184535;0.2259504149;0.2230534949;0.2710925212;0.2704920941;0.2827185184;0.2836371838;AN
0.5265048225;0.4892336695;0.4622039953;0.4512707939;0.4514090933;0.456359958;0.4748603352;0.4853909578;0.4804794065;0.452651886;0.4101106626;0.3699404052;0.3318736702;0.3109479341;0.3018828176;0.3288980118;0.3766705661;0.4805768306;0.4661374312;0.4292960772;0.3823858091;0.3279001249;0.3359395839;0.3793950133;0.4160042277;0.4340677867;0.4241765201;0.2356985822;0.1573198641;0.0790063443;0.1039166214;0.0805709782;0.0782122905;0.0699997994;0.0883317782;0.3688843356;0.3517779104;0.313297763;0.2558878769;0.2805003399;0.3195608859;0.2349691715;0.2926969139;0.3209739089;0.3247919967;0.2861731503;0.2501521025;0.251396648;0.1890382605;0.1360424096;0.1396648045;0.1343107853;0.1705512572;0.22623974;0.273970946;0.2994434253;0.3016759777;0.3049685824;0.2884002123;0.2386593225;0.1775446769;0.1731843575;0.1775446769;0.2149204923;0.2433857085;0.2458100559;0.2498399975;AN
0.6709076431;0.6141752505;0.5807011622;0.5633628773;0.5518156579;0.5432036813;0.5391175779;0.5436823803;0.5352433389;0.5132226638;0.4777162329;0.4484335089;0.4274954284;0.4080358271;0.4193548387;0.4619355965;0.5311572194;0.6298588448;0.6175545071;0.5781757525;0.5305446517;0.4733396965;0.4892842359;0.5355470231;0.5664138609;0.5807011622;0.564804074;0.3307434944;0.2178912272;0.1131908778;0.1442624502;0.1084969681;0.0981090731;0.0974439191;0.1146183097;0.4749856233;0.4513968377;0.4070783698;0.3430975385;0.3728040107;0.4221371719;0.314516129;0.3861716095;0.4258186704;0.4277235679;0.382448571;0.3377482515;0.3250910382;0.2581904934;0.2056056255;0.2121442974;0.1942192674;0.2321964524;0.2851237021;0.3149294224;0.3307434944;0.3341669251;0.3391893685;0.3361075159;0.3087772535;0.2576862147;0.253230943;0.2505197511;0.2710925212;0.2505197511;0.2611957216;0.2605724907;DI
0.6745812282;0.6181860612;0.5728077696;0.5633628773;0.5593077705;0.558958821;0.5684768887;0.5763731737;0.5739986984;0.5542851702;0.513665998;0.4725833975;0.4387571132;0.4233678951;0.435558536;0.47436907;0.5463077276;0.6504820913;0.6500320171;0.616764155;0.5763731737;0.5201456612;0.5223914432;0.5763731737;0.6131154132;0.6290839516;0.5931669532;0.3629032258;0.2419354839;0.1209677419;0.1370967742;0.1032761974;0.1051484259;0.1010480975;0.1209677419;0.5019473006;0.4887522605;0.4441345101;0.3678869267;0.3871807705;0.4394236363;0.3474299876;0.4255895097;0.4631307747;0.4563404629;0.405878372;0.3624549202;0.3315291095;0.2662511939;0.2142795203;0.2190818985;0.2121442974;0.250130039;0.3070876252;0.3423384722;0.3556625334;0.3643340967;0.36575937;0.3534614032;0.3112945011;0.2703718486;0.2672264762;0.2591961077;0.2890878763;0.2752588414;0.2760845608;0.2780796718;DI
0.7395649367;0.6728436091;0.6371478134;0.6201817397;0.6023065274;0.5773314945;0.5615706567;0.5587842646;0.5424848406;0.5303607435;0.4913402004;0.4597481553;0.4453044417;0.4387571132;0.4597481553;0.5129057618;0.5851638688;0.6662871795;0.64561476;0.5975365662;0.5436823803;0.4825923968;0.4892842359;0.5457717521;0.5851638688;0.6123193314;0.5948093198;0.33880567;0.2259504149;0.1131908778;0.1515185018;0.1084969681;0.0981090731;0.0901640314;0.1163081057;0.5163809869;0.4791435735;0.4274954284;0.3582134244;0.3884385348;0.4453774604;0.3283753721;0.4011235521;0.4471263315;0.4567678148;0.3991731829;0.3468679543;0.3368806222;0.2571809471;0.2056056255;0.2041772403;0.1870550565;0.2276708744;0.2907702642;0.3190329104;0.3310383186;0.3411013868;0.3468679543;0.3445162801;0.3193385463;0.2531024972;0.2452726827;0.2424725222;0.2813348958;0.2505197511;0.2611957216;0.2605724907;DI
0.6092983986;0.5551029391;0.5169528164;0.5030424081;0.498274126;0.484896426;0.4895649993;0.4988613674;0.4854998488;0.4745683095;0.4362416107;0.4067468476;0.3893195976;0.3756591133;0.3758389262;0.4204150272;0.4811663981;0.5747177019;0.5692050726;0.537332051;0.4945083764;0.4461951715;0.4537031888;0.4988613674;0.5282864068;0.5369127517;0.5173012261;0.3087248322;0.2080536913;0.1006711409;0.123205099;0.0953870497;0.0882748083;0.0810942683;0.1006711409;0.43250855;0.4098907781;0.3742174996;0.3182085796;0.3355704698;0.3796546476;0.2978837721;0.3572840713;0.3893195976;0.3939202843;0.3516932217;0.3109056328;0.2943853987;0.2295655218;0.1833087286;0.1898273238;0.1831858264;0.2168522741;0.261400565;0.2978837721;0.3093806865;0.3105432296;0.3143634477;0.3063815359;0.2767184984;0.2270996552;0.2297616479;0.229074472;0.2555628559;0.2357606452;0.2430975876;0.2419833071;DI
0.6962158007;0.6395929051;0.6048924707;0.5887649112;0.5770498006;0.565954389;0.5615706567;0.5616285596;0.5441606583;0.5201456612;0.4823227921;0.4453044417;0.419432375;0.4030644839;0.4112903226;0.4619355965;0.5311572194;0.6403042981;0.6247267873;0.5882676202;0.5432036813;0.4881530952;0.4985019181;0.5457717521;0.5812049273;0.5969921137;0.5707034198;0.3306451613;0.2258064516;0.1129032258;0.1334914948;0.1026445328;0.0981090731;0.0901640314;0.1096892783;0.4863511704;0.4627795721;0.4138126326;0.3430975385;0.3728040107;0.4221371719;0.3250910382;0.3901092459;0.4307538826;0.4391275287;0.3879359184;0.3422434705;0.3254909044;0.2519435379;0.1948878383;0.1962181461;0.1870550565;0.2276708744;0.2890878763;0.3168852049;0.3310383186;0.3330947811;0.3391893685;0.3291666392;0.3081447286;0.250130039;0.2440765476;0.2431421521;0.2743121186;0.2505197511;0.2611957216;0.2605724907;DI
0.6997100633;0.6395929051;0.6048387097;0.5985153328;0.5953557686;0.5994382559;0.6061813056;0.6097648853;0.6011716794;0.5753567413;0.5253708863;0.4744376155;0.4400152537;0.4088319953;0.4113693789;0.4541976723;0.5283335276;0.6618801461;0.6662871795;0.6385243296;0.5942076458;0.5383328796;0.5383328796;0.5917398815;0.6131154132;0.6243623178;0.5817641547;0.3629928205;0.2420698552;0.1212362611;0.1442624502;0.1140494808;0.107594065;0.0943927412;0.1084969681;0.5137293003;0.4925300479;0.4453774604;0.3752383911;0.3968036968;0.4505315395;0.3445162801;0.4219830791;0.4519008299;0.4508201568;0.4006368499;0.3582134244;0.347897655;0.2758488932;0.2129093352;0.2201184526;0.2102968518;0.2473848653;0.3065577066;0.3463988967;0.3629928205;0.3741101131;0.3777431751;0.3721055482;0.3262891665;0.275613024;0.2691664398;0.2666173428;0.2983870968;0.2827185184;0.2851237021;0.2907702642;DI
0.7503034419;0.6982678882;0.6617327395;0.6421299754;0.6207058518;0.5969921137;0.5807011622;0.5707603961;0.5463077276;0.527224488;0.4898820177;0.4613016015;0.4484335089;0.4361553962;0.4519008299;0.5007798289;0.5735453028;0.671295283;0.6569982665;0.6113094728;0.5484463915;0.4813104294;0.4998699102;0.5541091415;0.5933313944;0.6175545071;0.6009552749;0.3387096774;0.2258064516;0.1129032258;0.1482643251;0.1084969681;0.0981090731;0.0901640314;0.1163081057;0.5163809869;0.4850120953;0.4340627949;0.3582134244;0.3884385348;0.4461069899;0.3318232357;0.4052369202;0.4522604804;0.4627795721;0.4049158132;0.3516166025;0.3438549291;0.2623138059;0.2020961949;0.1962181461;0.1870550565;0.2309325978;0.2975139798;0.3345559438;0.3471490847;0.3581226341;0.3646909372;0.3556625334;0.3250910382;0.2531024972;0.2452726827;0.2424725222;0.2777286348;0.2666173428;0.2771425851;0.2785470329;DI
0.6213039899;0.5664683986;0.5369546963;0.5322786593;0.5223270512;0.5183450501;0.5119182235;0.5184753803;0.5069669119;0.4936422966;0.4564251849;0.4189661486;0.3920290434;0.3715600144;0.3826092031;0.418535888;0.4836873221;0.5751877547;0.5680961276;0.5404664275;0.5008888096;0.4470524157;0.4556844348;0.5008888096;0.5254652116;0.5356528843;0.517475343;0.3020134228;0.2013422819;0.1006711409;0.123205099;0.0953870497;0.0949136619;0.0900430058;0.1100752984;0.4375303628;0.4142087013;0.3742174996;0.3155076315;0.3396397565;0.3844296239;0.2943853987;0.360484537;0.3879287521;0.3987503564;0.3513087873;0.3090164949;0.3037237181;0.23374597;0.1833087286;0.1823231907;0.1765496166;0.2106356353;0.2672792987;0.2996176414;0.3160781702;0.3172161691;0.3208166014;0.3155076315;0.285373042;0.23345674;0.2297616479;0.2297616479;0.2555628559;0.2357606452;0.2430975876;0.2419833071;DI
